# This is CartPole simulation from 12.02.2022 at time 02:25:00
# Done with git-revision: 3b31c7399b8bada4a1c8a63c80884127a6e6ebe4
#
#
# Time intervals dt:
# Simulation: 0.002 s
# Controller update: 0.02 s
# Saving: 0.02 s
#
# Units:
# time: s
# deltaTimeMs: ms
# angle_raw
# angle: rad
# angleD: rad/s
# angle_cos:
# angle_sin:
# position_raw
# position: m
# positionD: m/s
# angleTarget: rad
# angleErr: rad
# target_position: m
# positionErr: m
# angleCmd:
# positionCmd:
# actualMotorSave:
# Q: normed motor power
# stickControl
# stickPos
# measurement
# angle_squared
# position_squared
# Q_squared
# sent
# latency
# pythonLatency
# additionalLatency
# invalid_steps
# frozen
#
#
time,deltaTimeMs,angle_raw,angleD_raw,angle,angleD,angle_cos,angle_sin,position_raw,position,positionD,angleTarget,angleErr,target_position,positionErr,angleCmd,positionCmd,actualMotorSave,Q,stickControl,stickPos,measurement,angle_squared,position_squared,Q_squared,sent,latency,pythonLatency,additionalLatency,invalid_steps,frozen
20243.565353870392,39.99999999996362,2078,-67.0,-1.9438212131632366,-2.569417819710786,-0.3644339575647198,-0.9312292363181667,-722,0.060674678111587985,0.0,NA,NA,0.0,NA,NA,NA,-1360,0.39536437,False,0.0," Step Response (State:idle, Speed:-0.5, Q:0.0)",3.778440908743397,0.003681416563944814,0.15631298816701023,2781.870818,0.03093,0.02971506118774414,0.0,2,0
20243.585683584213,19.99999999998181,2027,-51.0,-2.0220542333454046,-3.9116510091119423,-0.436097867991734,-0.8998992441007294,-722,0.060674678111587985,0.0,NA,NA,0.0,NA,NA,NA,1544,-0.35854962,False,0.0," Step Response (State:idle, Speed:-0.5, Q:0.0)",4.088703322590072,0.003681416563944814,0.128557833359225,2781.890818,0.01779,0.015990018844604492,0.0,0,0
20243.60600376129,19.99999999998181,1968,-59.0,-2.112559099830657,-4.525243324266757,-0.5156471378012737,-0.8568010441621522,-715,0.06007982832618026,-0.029742489270413373,NA,NA,0.0,NA,NA,NA,2442,-0.56707245,False,0.0," Step Response (State:idle, Speed:-0.5, Q:0.0)",4.4629059502773165,0.0036095857717032918,0.32157116481318226,2781.910818,0.01298,0.011044979095458984,0.0,1,0
20243.62618279457,19.99999999998181,1902,-66.0,-2.2138018318311095,-5.06213660002722,-0.59960344332365,-0.8002972639928382,-693,0.058210300429184555,-0.09347639484987015,NA,NA,0.0,NA,NA,NA,3347,-0.6976605,False,0.0," Step Response (State:idle, Speed:-0.5, Q:0.0)",4.900918550618776,0.0033884390760559237,0.4867301813135363,2781.930818,0.01417,0.012336015701293945,0.0,1,0
20243.646433115005,19.99999999998181,1829,-73.0,-2.325782429346761,-5.599029875787682,-0.6852785474752773,-0.7282810668760888,-653,0.054811158798283265,-0.16995708154521913,NA,NA,0.0,NA,NA,NA,3860,-0.8166802,False,0.0," Step Response (State:idle, Speed:-0.5, Q:0.0)",5.409263908658121,0.003004263128810625,0.6669665375525824,2781.950818,0.01499,0.013195276260375977,0.0,3,0
20243.66682958603,19.99999999998181,1751,-78.0,-2.445432930801841,-5.982525072759442,-0.7673105158717257,-0.6412757380664468,-594,0.04979742489270387,-0.2506866952791978,NA,NA,0.0,NA,NA,NA,3545,-0.743646,False,0.0," Step Response (State:idle, Speed:-0.5, Q:0.0)",5.980142219050083,0.002479783525944483,0.5530094114764239,2781.970818,0.0141,0.01232600212097168,0.0,2,0
20243.68687558174,20.000000000436557,1668,-83.0,-2.5727533361963495,-6.366020269586455,-0.8425267494567961,-0.5386545056432418,-523,0.04376394849785408,-0.3016738197359045,NA,NA,0.0,NA,NA,NA,3653,-0.7686159,False,0.0," Step Response (State:idle, Speed:-0.5, Q:0.0)",6.619059728909447,0.0019152831881228244,0.5907704039928241,2781.990818,0.01499,0.013111591339111328,0.0,1,0
20243.707396030426,19.99999999998181,1581,-87.0,-2.7062096647424,-6.672816427308607,-0.9067085803093279,-0.42175769156405796,-443,0.036965665236051506,-0.33991416309043787,NA,NA,0.0,NA,NA,NA,3342,-0.696396,False,0.0," Step Response (State:idle, Speed:-0.5, Q:0.0)",7.323570749545174,0.001366460406343827,0.4849673793905964,2782.010818,0.01376,0.012132406234741211,0.0,1,0
20243.72768330574,19.99999999998181,1487,-94.0,-2.8504038588036504,-7.2097097030690716,-0.9579032599676007,-0.28709117810104007,-358,0.02974248927038627,-0.3611587982835903,NA,NA,0.0,NA,NA,NA,2983,-0.6130193,False,0.0," Step Response (State:idle, Speed:-0.5, Q:0.0)",8.12480215828274,0.0008846156679990423,0.3757926469527071,2782.030818,0.01464,0.0128326416015625,0.0,1,0
20243.747776269913,19.99999999998181,1391,-96.0,-2.997666014440672,-7.363107781857774,-0.989660428353352,-0.14343024977828048,-274,0.022604291845493563,-0.35690987124495993,NA,NA,0.0,NA,NA,NA,2507,-0.50250566,False,0.0," Step Response (State:idle, Speed:-0.5, Q:0.0)",8.986001534132622,0.0005109540098362468,0.25251193838938946,2782.050818,0.01524,0.01332545280456543,0.0,1,0
