# This is CartPole simulation from 12.02.2022 at time 07:46:34
# Done with git-revision: 3b31c7399b8bada4a1c8a63c80884127a6e6ebe4
#
#
# Time intervals dt:
# Simulation: 0.002 s
# Controller update: 0.02 s
# Saving: 0.02 s
#
# Units:
# time: s
# deltaTimeMs: ms
# angle_raw
# angle: rad
# angleD: rad/s
# angle_cos:
# angle_sin:
# position_raw
# position: m
# positionD: m/s
# angleTarget: rad
# angleErr: rad
# target_position: m
# positionErr: m
# angleCmd:
# positionCmd:
# actualMotorSave:
# Q: normed motor power
# stickControl
# stickPos
# measurement
# angle_squared
# position_squared
# Q_squared
# sent
# latency
# pythonLatency
# additionalLatency
# invalid_steps
# frozen
#
#
time,deltaTimeMs,angle_raw,angleD_raw,angle,angleD,angle_cos,angle_sin,position_raw,position,positionD,angleTarget,angleErr,target_position,positionErr,angleCmd,positionCmd,actualMotorSave,Q,stickControl,stickPos,measurement,angle_squared,position_squared,Q_squared,sent,latency,pythonLatency,additionalLatency,invalid_steps,frozen
39537.71665215492,40.000000000020464,2157,-72.0,-1.8226367309202711,-2.7611654181927414,-0.24918672967663758,-0.9684554578053977,653,-0.05617081545064378,0.0,NA,NA,0.0,NA,NA,NA,-322,-0.017651068,False,0.0," Step Response (State:idle, Speed:-0.5, Q:0.0)",3.3220046528997327,0.003155160508390282,0.0003115602031888466,337.154338,0.02876,0.027242422103881836,0.0,1,0
39537.736654520035,19.99999999998181,2106,-51.0,-1.9008697511024386,-3.9116510091119423,-0.324112490025306,-0.9460185483433166,653,-0.05617081545064378,0.0,NA,NA,0.0,NA,NA,NA,7,-0.0018371177,False,0.0," Step Response (State:idle, Speed:-0.5, Q:0.0)",3.613305810656247,0.003155160508390282,3.3750014946372326e-06,337.174338,0.02876,0.01981043815612793,0.0,2,0
39537.757147312164,20.000000000038654,2043,-63.0,-1.997510540739234,-4.8320394818304315,-0.41388189047019736,-0.9103305887098464,653,-0.05617081545064378,0.0,NA,NA,0.0,NA,NA,NA,-676,0.15697007,False,0.0," Step Response (State:idle, Speed:-0.5, Q:0.0)",3.9900483603643466,0.003155160508390282,0.024639602502960267,337.194338,0.0343,0.012678146362304688,0.0,1,0
39537.77749872208,19.99999999998181,1971,-72.0,-2.107957157467,-5.522330836393331,-0.5116987425508202,-0.8591649415984741,651,-0.05600085836909872,0.008497854077260765,NA,NA,0.0,NA,NA,NA,-943,0.21903645,False,0.0," Step Response (State:idle, Speed:-0.5, Q:0.0)",4.443483377716356,0.003136096138075854,0.04797696424771325,337.214338,0.01653,0.014841079711914062,0.0,1,0
39537.79776310921,19.99999999998181,1892,-79.0,-2.2291416397099657,-6.059224112153793,-0.6118088232737776,-0.7910056660760121,644,-0.05540600858369099,0.029742489270413373,NA,NA,0.0,NA,NA,NA,-1499,0.25563297,False,0.0," Step Response (State:idle, Speed:-0.5, Q:0.0)",4.969072449888834,0.0030698257871760396,0.06534821369289379,337.234338,0.01572,0.013848543167114258,0.0,1,0
39537.817924022675,20.000000000038654,1800,-92.0,-2.370267872195445,-7.056311624260312,-0.7169878128856779,-0.6970857021725608,629,-0.05413133047210301,0.06373390557927598,NA,NA,0.0,NA,NA,NA,-1712,0.3049748,False,0.0," Step Response (State:idle, Speed:-0.5, Q:0.0)",5.618169785961922,0.002930200938680028,0.09300962521189149,337.254338,0.01677,0.014961957931518555,0.0,2,0
39537.83827209473,19.99999999998181,1701,-99.0,-2.5221319701961233,-7.59320490004083,-0.814191700194964,-0.580596137890732,604,-0.0520068669527897,0.10622317596576199,NA,NA,0.0,NA,NA,NA,-1710,0.30451927,False,0.0," Step Response (State:idle, Speed:-0.5, Q:0.0)",6.361149675085379,0.0027047142102451694,0.09273198329825849,337.274338,0.01591,0.014123201370239258,0.0,1,0
39537.858540296555,19.99999999998181,1590,-111.0,-2.6924038376514297,-8.513593372773052,-0.9007996431667169,-0.43423496274564943,571,-0.04920257510729614,0.1402145922748054,NA,NA,0.0,NA,NA,NA,-1576,0.2733275,False,0.0," Step Response (State:idle, Speed:-0.5, Q:0.0)",7.249038425000146,0.002420893397189118,0.07470792205293098,337.294338,0.01473,0.012827396392822266,0.0,2,0
39537.87900066376,20.000000000038654,1477,-113.0,-2.865743666682507,-8.666991451537122,-0.9621943110139396,-0.2723639253873575,533,-0.04597339055793992,0.1614592274674991,NA,NA,0.0,NA,NA,NA,-1709,0.30428588,False,0.0," Step Response (State:idle, Speed:-0.5, Q:0.0)",8.2124867631309,0.0021135526393928792,0.09258989914293636,337.314338,0.0157,0.013869524002075195,0.0,2,0
39537.89913702011,19.99999999998181,1359,-118.0,-3.0467533996530127,-9.050486648533514,-0.9955061278102134,-0.09469714616774391,492,-0.0424892703862661,0.1742060085838495,NA,NA,0.0,NA,NA,NA,-1909,0.35065517,False,0.0," Step Response (State:idle, Speed:-0.5, Q:0.0)",9.28270627829719,0.0018053380979572292,0.12295904705192928,337.334338,0.01578,0.013899803161621094,0.0,1,0
