# This is a recording from physical cartpole from 19.06.2026 at time 14:32:40
# Done with git-revision: 232b997f582585af414de854512717e6aa475665
#
# 
# Time intervals dt:
# Controller update: 0.01 s
# Saving: 0.01 s
# 
# Controller: neural-imitator
# Parameters:
# L: 0.395
# m_pole: 0.087
# k: 0.33333334
# m_cart: 0.23
# g: 9.81
# J_fric: 5e-05
# M_fric: 3.22
# v_max: 0.8
# u_max: 1.77
# controlNoiseScale: 0.0
# controlNoiseBias: 0.0
# controlNoiseCorrelation: 0.0
# TrackHalfLength: 0.198
# controlNoise_mode: gaussian
# next_step_mode: Euler
# next_step_neural_model_path: SI_Toolkit_ASF/Experiments/Experiment_3_04_2025_derivative/Models/Dense-6IN-128H1-128H2-3OUT-0
# second_derivatives_mode: ODE
# second_derivatives_neural_model_path: SI_Toolkit_ASF/Experiments/CPP_MPCswingups_before_23_04_2025/Models/Dense-6IN-128H1-128H2-2OUT-5
# seed: None
# PATH_TO_EXPERIMENT_RECORDINGS_DEFAULT: ./Experiment_Recordings/
# cart_length: 0.044
# track_length: 0.44
# latency: 0.0
# noise: noise_mode: OFF;  sigma_angle: 0.0;  sigma_position: 0.0005;  sigma_angleD: 0.075;  sigma_positionD: 0.005; 
# vertical_angle_offset: init_value: 0.0;  change_every_x_seconds: 3.0;  mode: constant;  range_random: [-3.141592; 3.141592];  range_clip: None;  increment: 0.05;  reset_every_x_seconds: inf; 
# inform_controller_about_parameters_change: mode: ON;  change_to_on_after_x_seconds_off: 1.5;  change_to_off_after_x_seconds_on: 4; 
# num_control_inputs: 1
# 
# Units:
# time: s
# deltaTimeMs: ms
# angle: rad
# angleD: rad/s
# position: m
# positionD: m/s
# angleTarget: rad
# angleErr: rad
# target_position: m
# positionErr: m
# Q: normed motor power
# 
# Data:
time,deltaTimeMs,angle_raw,angleD_raw,angle,angleD,angle_cos,angle_sin,position_raw,position,positionD,target_position,target_equilibrium,actualMotorSave,Q,Q_ccrc,measurement,angle_squared,position_squared,Q_squared,latency,latency_violations,pythonLatency,controller_steptime,additionalLatency,invalid_steps,freezme,angle_raw_sensor,angleD_raw_sensor
646.4718778133392,10.001,1017,1.0,3.053150409104324,0.15514631779886698,-0.9960915333706976,0.0883269899136863,0,0.0,20.038379440046565,0.0,1.0,2727,0.4784236556876775,0.4784236556876775," Step Response (State:resetting, Forward Speed:-0.39073204952821916, Q:0.4784236556876775)",9.3217274206139,0.0,0.22888919432156138,0.0,0,0.002591371536254883,0.003938913345336914,0.0,0,0,1017,1.0
646.4847157001495,12.831999999999999,1018,1.0,3.0547020274286303,0.1209178868692697,-0.9962273840371699,0.08678133033352957,0,0.0,0.0,0.0,1.0,3089,0.4784236556876775,0.4784236556876775," Step Response (State:resetting, Forward Speed:-0.39073204952821916, Q:0.4784236556876775)",9.331204476376584,0.0,0.22888919432156138,0.00317,0,0.0029845237731933594,0.003938913345336914,0.0,0,0,1018,1.0
646.4949586391449,10.0,1017,-1.0,3.053150409104324,-0.15516183243064685,-0.9960915333706976,0.0883269899136863,3,0.0002530351423988708,0.025303514239887078,0.0,1.0,2727,0.4784236556876775,0.4784236556876775," Step Response (State:resetting, Forward Speed:-0.39073204952821916, Q:0.4784236556876775)",9.3217274206139,6.402678328881681e-08,0.22888919432156138,0.00289,0,0.0019965171813964844,0.003938913345336914,0.0,0,0,1017,-1.0
646.5051641464233,10.0,1018,1.0,3.0547020274286303,0.15516183243064685,-0.9962273840371699,0.08678133033352957,13,0.0010964856170617733,0.08434504746629026,0.0,1.0,3089,0.4784236556876775,0.4784236556876775," Step Response (State:resetting, Forward Speed:-0.39073204952821916, Q:0.4784236556876775)",9.331204476376584,1.2022807084233378e-06,0.22888919432156138,0.00339,0,0.0029096603393554688,0.003938913345336914,0.0,0,0,1018,1.0
646.5151615142822,10.0,1016,-2.0,3.0515987907800173,-0.3103236648612937,-0.9959532845949914,0.0898724368449418,25,0.0021086261866572567,0.10121405695954831,0.0,1.0,3089,0.4784236556876775,0.4784236556876775," Step Response (State:resetting, Forward Speed:-0.39073204952821916, Q:0.4784236556876775)",9.312255179890064,4.446304395056724e-06,0.22888919432156138,0.00379,0,0.00368499755859375,0.003938913345336914,0.0,0,0,1016,-2.0
646.5252969264984,10.001,1015,-1.0,3.0500471724557108,-0.15514631779886698,-0.9958126380428879,0.09141766740660329,42,0.003542491993584191,0.14337224346834662,0.0,1.0,3089,0.4784236556876775,0.4784236556876775," Step Response (State:resetting, Forward Speed:-0.39073204952821916, Q:0.4784236556876775)",9.302787754205076,1.2549249524608097e-05,0.22888919432156138,0.00399,0,0.004198551177978516,0.003938913345336914,0.0,0,0,1015,-1.0
646.5353999137878,9.998999999999999,1010,-5.0,3.0422890808341787,-0.7758867508283172,-0.9950734506897321,0.09914044448371909,62,0.005229392942909996,0.16870696562914347,0.0,1.0,3089,0.4784236556876775,0.4784236556876775," Step Response (State:resetting, Forward Speed:-0.39073204952821916, Q:0.4784236556876775)",9.255522851362873,2.734655055135687e-05,0.22888919432156138,0.00399,0,0.004262447357177734,0.003938913345336914,0.0,0,0,1010,-5.0
646.5458359718323,10.0,1008,-2.0,3.0391858441855657,-0.3103236648612937,-0.9947610036093651,0.10222791056305791,85,0.007169329034634672,0.1939936091724676,0.0,1.0,3089,0.4784236556876775,0.4784236556876775," Step Response (State:resetting, Forward Speed:-0.39073204952821916, Q:0.4784236556876775)",9.23665059549793,5.139927880685572e-05,0.22888919432156138,0.00439,0,0.005559206008911133,0.003938913345336914,0.0,0,0,1008,-2.0
646.5553076267242,10.001,1004,-4.0,3.0329793708883397,-0.6205852711954679,-0.9941073736955692,0.10839985961290709,110,0.009277955221291928,0.21084153451227444,0.0,1.0,3089,0.4784236556876775,0.4784236556876775," Step Response (State:resetting, Forward Speed:-0.39073204952821916, Q:0.4784236556876775)",9.198963864234228,8.608045308829815e-05,0.22888919432156138,0.00509,0,0.006287336349487305,0.003938913345336914,0.0,0,0,1004,-4.0
646.565331697464,10.0,1001,-3.0,3.02832451591542,-0.4654854972919406,-0.9935920199139764,0.1130260941697285,136,0.011470926455415476,0.21929712341235466,0.0,1.0,3089,0.4784236556876775,0.4784236556876775," Step Response (State:resetting, Forward Speed:-0.39073204952821916, Q:0.4784236556876775)",9.170749373694363,0.00013158215374555065,0.22888919432156138,0.00431,0,0.004335165023803711,0.003938913345336914,0.0,0,0,1001,-3.0
