epoch;loss;lr;val_loss
0;0.2973882257938385;0.002;0.47585198283195496
1;0.20149001479148865;0.002;0.3917486369609833
2;0.1643112450838089;0.002;0.3201402723789215
3;0.14804580807685852;0.002;0.28157445788383484
4;0.13355392217636108;0.002;0.22598296403884888
5;0.12098076194524765;0.002;0.20642800629138947
6;0.11113063991069794;0.002;0.18043707311153412
7;0.10346943885087967;0.002;0.17158056795597076
8;0.09790415316820145;0.002;0.15065817534923553
9;0.09352564811706543;0.002;0.1507183164358139
10;0.08862994611263275;0.002;0.15061645209789276
11;0.08540594577789307;0.002;0.15032292902469635
12;0.08448942750692368;0.002;0.1414649933576584
13;0.07979433238506317;0.002;0.14578653872013092
14;0.07967580854892731;0.002;0.1512245386838913
15;0.07294715940952301;0.001;0.11574780941009521
16;0.06978894770145416;0.001;0.1097683310508728
17;0.06815355271100998;0.001;0.10589256137609482
18;0.06713372468948364;0.001;0.10558607429265976
19;0.06588354706764221;0.001;0.10314128547906876
20;0.06782909482717514;0.001;0.10658843070268631
21;0.06668590009212494;0.001;0.10782817006111145
22;0.06382022053003311;0.0005;0.0969749465584755
23;0.06176622584462166;0.0005;0.09591258317232132
24;0.06104491651058197;0.0005;0.094005286693573
25;0.060872890055179596;0.0005;0.09525931626558304
26;0.0601208321750164;0.0005;0.0947929099202156
27;0.05997837334871292;0.00025;0.08743567019701004
28;0.05977170914411545;0.00025;0.08691246062517166
29;0.061358410865068436;0.00025;0.08283724635839462
30;0.05914033576846123;0.00025;0.0824807807803154
31;0.0581032894551754;0.00025;0.08223661035299301
32;0.057382404804229736;0.00025;0.08264423906803131
33;0.05692543089389801;0.00025;0.08359423279762268
34;0.057260662317276;0.000125;0.07811564952135086
35;0.05681677162647247;0.000125;0.07729832082986832
36;0.05682992562651634;0.000125;0.07702720165252686
37;0.05704227834939957;0.000125;0.07650230079889297
38;0.05628303810954094;0.000125;0.07747743278741837
39;0.05605955794453621;0.000125;0.07668814808130264
40;0.05660690739750862;6.25e-05;0.07419505715370178
41;0.05624645948410034;6.25e-05;0.07411213219165802
42;0.056025952100753784;6.25e-05;0.07424136996269226
43;0.05630240589380264;6.25e-05;0.07362691313028336
44;0.056010641157627106;6.25e-05;0.0744260773062706
45;0.05568106099963188;6.25e-05;0.07440648227930069
46;0.056559063494205475;3.125e-05;0.07355815917253494
47;0.056324511766433716;3.125e-05;0.07298153638839722
48;0.05622689053416252;3.125e-05;0.07256825268268585
49;0.05601544678211212;3.125e-05;0.07222088426351547
50;0.055886998772621155;3.125e-05;0.07225847244262695
51;0.055840060114860535;3.125e-05;0.0725027397274971
52;0.056677285581827164;1.5625e-05;0.07132405042648315
53;0.056482017040252686;1.5625e-05;0.0712825283408165
54;0.05636586621403694;1.5625e-05;0.07112857699394226
55;0.05627866089344025;1.5625e-05;0.07097766548395157
56;0.05619805306196213;1.5625e-05;0.07111088186502457
57;0.0561428964138031;1.5625e-05;0.07113070040941238
58;0.05723854899406433;7.8125e-06;0.07223809510469437
59;0.05697160214185715;7.8125e-06;0.07174525409936905
60;0.057491157203912735;3.90625e-06;0.07132076472043991
