# This is CartPole simulation from 03.03.2023 at time 05:40:12
# Done with git-revision: b35b20c2fdbc88ac53613e37b04d56dfdb4957e5
#
#
# Time intervals dt:
# Simulation: 0.002 s
# Controller update: 0.021 s
# Saving: 0.021 s
#
# Units:
# time: s
# deltaTimeMs: ms
# angle_raw
# angle: rad
# angleD: rad/s
# angle_cos:
# angle_sin:
# position_raw
# position: m
# positionD: m/s
# angleTarget: rad
# angleErr: rad
# target_position: m
# positionErr: m
# angleCmd:
# positionCmd:
# actualMotorSave:
# Q: normed motor power
# stickControl
# stickPos
# measurement
# angle_squared
# position_squared
# Q_squared
# sent
# latency
# pythonLatency
# additionalLatency
# invalid_steps
# frozen
# angleD fitted
#
#
time,deltaTimeMs,angle_raw,angleD_raw,angle,angleD,angle_cos,angle_sin,position_raw,position,positionD,angleTarget,angleErr,target_position,target_equilibrium,positionErr,angleCmd,positionCmd,actualMotorSave,Q,stickControl,stickPos,measurement,angle_squared,position_squared,Q_squared,sent,latency,pythonLatency,controller_steptime,additionalLatency,invalid_steps,frozen,fitted,angle_raw_sensor,angleD_raw_sensor,angleD_fitted
2.6921792030334473,41.999999999999815,1054,0.0,-3.141592653589793,0.0,-1.0,-1.2246467991473532e-16,-52,0.004945244956772335,0.0,NA,NA,-0.1,1.0,NA,NA,NA,131,-0.03641492500901222,False,0.0," Step Response (State:idle, Speed:-0.5, Q:0.0)",9.869604401089358,0.01101350443903695,0.0013260467634119838,2.688002,0.64258,0.02202010154724121,0.016255617141723633,0.0,0,0,0,1054,0.0,
2.7131354808807373,20.999999999999908,1053,-1.0,3.1401216432494365,-0.07004811144556189,-0.9999989180644844,0.0014710098098438783,-52,0.004945244956772335,0.0,NA,NA,-0.1,1.0,NA,NA,NA,1238,-0.3422755002975464,False,0.0," Step Response (State:idle, Speed:-0.5, Q:0.0)",9.86036393440354,0.01101350443903695,0.11715251810393568,2.709002,0.02,0.017145872116088867,0.017025470733642578,0.0,0,0,0,1053,-1.0,
2.7343857288360596,20.999999999999908,1054,1.0,-3.141592653589793,0.07004811144556189,-1.0,-1.2246467991473532e-16,-44,0.004184438040345821,-0.03622890078221511,NA,NA,-0.1,1.0,NA,NA,NA,2397,-0.662883996963501,False,0.0," Step Response (State:idle, Speed:-0.5, Q:0.0)",9.869604401089358,0.010854397129782659,0.43941519343030677,2.730002,0.02043,0.017665386199951172,0.01294708251953125,0.0,2,0,0,1054,1.0,
2.7557196617126465,21.00000000000035,1056,2.0,-3.1386506329090795,0.14009622289112084,-0.9999956722602786,-0.002942016436612564,-17,0.0016167146974063401,-0.12227254013997323,NA,NA,-0.1,1.0,NA,NA,NA,3901,-0.9919242858886719,False,0.0," Step Response (State:idle, Speed:-0.5, Q:0.0)",9.851127795460565,0.01032595670589408,0.9839137889357517,2.751002,0.01632,0.01342010498046875,0.01452946662902832,0.0,0,0,0,1056,2.0,
2.777401924133301,20.999999999999908,1066,10.0,-3.1239405295055116,0.7004811144556189,-0.9998442053031559,-0.017651207372320007,34,-0.0032334293948126803,-0.23095924248662103,NA,NA,-0.1,1.0,NA,NA,NA,3930,-1.0,False,0.0," Step Response (State:idle, Speed:-0.5, Q:0.0)",9.759004431887176,0.009363769186688704,1.0,2.772002,0.01796,0.015106201171875,0.012266397476196289,0.0,0,0,0,1066,10.0,
2.7983345985412598,20.999999999999908,1083,17.0,-3.098933353719446,1.1908178945745522,-0.9990902300476567,-0.04264636236914493,110,-0.010461095100864553,-0.3441745574310431,NA,NA,-0.1,1.0,NA,NA,NA,3930,-1.0,False,0.0," Step Response (State:idle, Speed:-0.5, Q:0.0)",9.603387930794852,0.008017215490536422,1.0,2.793002,0.0161,0.012836456298828125,0.016695737838745117,0.0,0,0,0,1083,17.0,
2.8195157051086426,20.999999999999908,1103,20.0,-3.06951314691231,1.4009622289112378,-0.9974033968619559,-0.07201710858005625,200,-0.019020172910662825,-0.4075751337999195,NA,NA,-0.1,1.0,NA,NA,NA,3930,-1.0,False,0.0," Step Response (State:idle, Speed:-0.5, Q:0.0)",9.421910959067512,0.006557732395418948,1.0,2.814002,0.02011,0.01727747917175293,0.011456012725830078,0.0,0,0,0,1103,20.0,
2.841038227081299,20.999999999999908,1123,20.0,-3.040092940105174,1.4009622289112378,-0.994853324861098,-0.10132552498170756,300,-0.028530259365994237,-0.4528612597776883,NA,NA,-0.1,1.0,NA,NA,NA,3930,-1.0,False,0.0," Step Response (State:idle, Speed:-0.5, Q:0.0)",9.242165084477323,0.005107923826292055,1.0,2.835002,0.01479,0.01186823844909668,0.015694379806518555,0.0,0,0,0,1123,20.0,
2.862177848815918,21.00000000000035,1145,22.0,-3.0077307126173247,1.5410584518023291,-0.9910538611930376,-0.1334625198861886,405,-0.03851585014409222,-0.47550432276656274,NA,NA,-0.1,1.0,NA,NA,NA,3930,-1.0,False,0.0," Step Response (State:idle, Speed:-0.5, Q:0.0)",9.04644403962152,0.0037803006835037253,1.0,2.856002,0.01924,0.016330957412719727,0.018270254135131836,0.0,0,0,0,1145,22.0,
2.8833250999450684,20.999999999999908,1167,22.0,-2.9753684851294753,1.5410584518023618,-0.9862165437559667,-0.16545974985486808,513,-0.04878674351585014,-0.48909016055990306,NA,NA,-0.1,1.0,NA,NA,NA,3930,-1.0,False,0.0," Step Response (State:idle, Speed:-0.5, Q:0.0)",8.852817622301668,0.0026227976397113183,1.0,2.877002,0.01924,0.018754243850708008,0.012344598770141602,0.0,2,0,0,1167,22.0,
