# This is CartPole simulation from 19.02.2022 at time 12:08:02
# Done with git-revision: 4096a3a4fd3a693e1960c42779e794d9629bfee5
#
#
# Time intervals dt:
# Simulation: 0.002 s
# Controller update: 0.02 s
# Saving: 0.02 s
#
# Units:
# time: s
# deltaTimeMs: ms
# angle_raw
# angle: rad
# angleD: rad/s
# angle_cos:
# angle_sin:
# position_raw
# position: m
# positionD: m/s
# angleTarget: rad
# angleErr: rad
# target_position: m
# positionErr: m
# angleCmd:
# positionCmd:
# actualMotorSave:
# Q: normed motor power
# stickControl
# stickPos
# measurement
# angle_squared
# position_squared
# Q_squared
# sent
# latency
# pythonLatency
# additionalLatency
# invalid_steps
# frozen
# angleD fitted
#
#
time,deltaTimeMs,angle_raw,angleD_raw,angle,angleD,angle_cos,angle_sin,position_raw,position,positionD,angleTarget,angleErr,target_position,positionErr,angleCmd,positionCmd,actualMotorSave,Q,stickControl,stickPos,measurement,angle_squared,position_squared,Q_squared,sent,latency,pythonLatency,additionalLatency,invalid_steps,frozen,fitted,angle_raw_sensor,angleD_raw_sensor,angleD_fitted
33760.30384325981,39.99999999996362,2234,-76.0,-1.7045202102530768,-2.9145634969853687,-0.13332569618213141,-0.9910722772520428,941,-0.08123948497854078,0.0,NA,NA,0.0,NA,NA,NA,3090,-0.637894,False,0.0," Step Response (State:idle, Speed:-0.5, Q:0.0)",2.905389147161193,0.006599853919578552,0.4069087230619495,3221.78893,0.028,0.026611804962158203,0.0,0,0,0,2234,-76.0,-33.183333333333294
33760.323645830154,19.99999999998181,2184,-50.0,-1.781219249647359,-3.834951969717591,-0.20887351281506208,-0.9779426648041776,941,-0.08123948497854078,0.0,NA,NA,0.0,NA,NA,NA,1531,-0.35556644,False,0.0," Step Response (State:idle, Speed:-0.5, Q:0.0)",3.1727420153143004,0.006599853919578552,0.12642749468563252,3221.80893,0.028,0.017132043838500977,0.0,0,0,0,2184,-50.0,-81.75
33760.343886852264,19.99999999998181,2122,-62.0,-1.8763260584962684,-4.755340442449812,-0.30079841602117674,-0.9536877439283526,948,-0.0818343347639485,-0.029742489270413026,NA,NA,0.0,NA,NA,NA,2404,-0.5581359,False,0.0," Step Response (State:idle, Speed:-0.5, Q:0.0)",3.520599477792142,0.006696858346257989,0.3115157126994781,3221.82893,0.03446,0.012176513671875,0.0,3,0,0,2122,-62.0,-82.11666666666665
33760.36412167549,19.99999999998181,2047,-75.0,-1.9913746175876916,-5.752427954576386,-0.40828841577565245,-0.9128529835320734,971,-0.08378884120171674,-0.09772532188850123,NA,NA,0.0,NA,NA,NA,2522,-0.5060596,False,0.0," Step Response (State:idle, Speed:-0.5, Q:0.0)",3.9655728675725253,0.007020569909926506,0.2560963055964329,3221.84893,0.01556,0.013463973999023438,0.0,2,0,0,2047,-75.0,-83.25000000000003
33760.38442707062,19.99999999998181,1964,-83.0,-2.1186950229822,-6.366020269731202,-0.5208946632638813,-0.8536209637674134,1007,-0.0868480686695279,-0.15296137339069724,NA,NA,0.0,NA,NA,NA,1582,-0.2878463,False,0.0," Step Response (State:idle, Speed:-0.5, Q:0.0)",4.488868600409544,0.007542587031627034,0.0828554907113963,3221.86893,0.01466,0.012572765350341797,0.0,2,0,0,1964,-83.0,-87.28333333333333
33760.40464425087,19.99999999998181,1875,-89.0,-2.2552193131040217,-6.826214506097312,-0.6322260558259445,-0.7747839791417797,1045,-0.09007725321888413,-0.16145922746795802,NA,NA,0.0,NA,NA,NA,-450,0.18399787,False,0.0," Step Response (State:idle, Speed:-0.5, Q:0.0)",5.086014150197375,0.008113911547458972,0.03385521597743946,3221.88893,0.01566,0.013596773147583008,0.0,1,0,0,1875,-89.0,-90.81666666666666
33760.42497301102,19.99999999998181,1776,-99.0,-2.4070834111047,-7.59320490004083,-0.7421597597428,-0.6702230158824071,1068,-0.09203175965665236,-0.09772532188850054,NA,NA,0.0,NA,NA,NA,-2949,0.7642915,False,0.0," Step Response (State:idle, Speed:-0.5, Q:0.0)",5.794050548015439,0.008469844785499826,0.5841415350142256,3221.90893,0.01492,0.012853384017944336,0.0,2,0,0,1776,-99.0,-91.7166666666668
33760.44527673721,19.99999999998181,1663,-113.0,-2.5804232401357776,-8.666991451561755,-0.8466333555461552,-0.5321766260149515,1055,-0.09092703862660945,0.055236051502196015,NA,NA,0.0,NA,NA,NA,-3493,0.8905023,False,0.0," Step Response (State:idle, Speed:-0.5, Q:0.0)",6.658584098232825,0.008267726353404926,0.792994300064013,3221.92893,0.01446,0.012326717376708984,0.0,3,0,0,1663,-113.0,-97.73333333333336
33760.46559762955,19.99999999998181,1538,-125.0,-2.772170838621483,-9.587379924293977,-0.9325362703868284,-0.3610763138354882,1012,-0.08727296137339056,0.18270386266111027,NA,NA,0.0,NA,NA,NA,-4409,0.9310796,False,0.0," Step Response (State:idle, Speed:-0.5, Q:0.0)",7.684931158503336,0.0076165697868813215,0.8669092701075556,3221.94893,0.01594,0.013907909393310547,0.0,1,0,0,1538,-125.0,-112.2666666666666
33760.48577666283,19.99999999998181,1405,-133.0,-2.976190283410273,-10.200972239448792,-0.9863521852567902,-0.1646492230141232,940,-0.08115450643776824,0.3059227467813945,NA,NA,0.0,NA,NA,NA,-4452,0.9410685,False,0.0," Step Response (State:idle, Speed:-0.5, Q:0.0)",8.85770860306572,0.006586053915157767,0.8856098661279113,3221.96893,0.01488,0.01271367073059082,0.0,1,0,0,1405,-133.0,-132.2333333333334
33760.506077528,19.99999999998181,1260,-145.0,3.084567809525895,-11.121360712181014,-0.9983745241326891,0.056993943211771064,849,-0.07342145922746782,0.3866523605153728,NA,NA,0.0,NA,NA,NA,-4499,0.9519174,False,0.0," Step Response (State:idle, Speed:-0.5, Q:0.0)",9.514558571563379,0.005390710675090719,0.9061467552647287,3221.98893,0.0146,0.012523651123046875,0.0,3,0,0,1260,-145.0,-154.45000000000005
33760.52639436722,19.99999999998181,1116,-144.0,2.863674576070363,-11.044661672786662,-0.961628706133338,0.27435420816951656,747,-0.06475364806866953,0.43339055794030873,NA,NA,0.0,NA,NA,NA,-4202,0.8830075,False,0.0," Step Response (State:idle, Speed:-0.5, Q:0.0)",8.200632077631774,0.004193034938201109,0.7797022916749938,3222.00893,0.01446,0.012784957885742188,0.0,3,0,0,1116,-144.0,-155.8
33760.54684662819,19.99999999998181,969,-147.0,2.6381794002511736,-11.274758790969717,-0.875941052203162,0.48241815167468305,640,-0.05566094420600859,0.4546351931334603,NA,NA,0.0,NA,NA,NA,-4276,0.9001349,False,0.0," Step Response (State:idle, Speed:-0.5, Q:0.0)",6.959990547909642,0.003098140709904401,0.8102428761367406,3222.02893,0.01511,0.013432502746582031,0.0,1,0,0,969,-147.0,-157.63333333333338
33760.56727528572,19.99999999998181,830,-139.0,2.4249560707350692,-10.661166475814902,-0.7540192582451614,0.6568523107939993,532,-0.04648326180257511,0.4588841201720914,NA,NA,0.0,NA,NA,NA,-4174,0.8764142,False,0.0," Step Response (State:idle, Speed:-0.5, Q:0.0)",5.880411944994866,0.002160693627806738,0.7681018145579088,3222.04893,0.01601,0.014718770980834961,0.0,3,0,0,830,-139.0,-156.26666666666677
