# This is CartPole simulation from 19.02.2022 at time 06:22:08
# Done with git-revision: 4096a3a4fd3a693e1960c42779e794d9629bfee5
#
#
# Time intervals dt:
# Simulation: 0.002 s
# Controller update: 0.02 s
# Saving: 0.02 s
#
# Units:
# time: s
# deltaTimeMs: ms
# angle_raw
# angle: rad
# angleD: rad/s
# angle_cos:
# angle_sin:
# position_raw
# position: m
# positionD: m/s
# angleTarget: rad
# angleErr: rad
# target_position: m
# positionErr: m
# angleCmd:
# positionCmd:
# actualMotorSave:
# Q: normed motor power
# stickControl
# stickPos
# measurement
# angle_squared
# position_squared
# Q_squared
# sent
# latency
# pythonLatency
# additionalLatency
# invalid_steps
# frozen
# angleD fitted
#
#
time,deltaTimeMs,angle_raw,angleD_raw,angle,angleD,angle_cos,angle_sin,position_raw,position,positionD,angleTarget,angleErr,target_position,positionErr,angleCmd,positionCmd,actualMotorSave,Q,stickControl,stickPos,measurement,angle_squared,position_squared,Q_squared,sent,latency,pythonLatency,additionalLatency,invalid_steps,frozen,fitted,angle_raw_sensor,angleD_raw_sensor,angleD_fitted
13006.496489524841,39.99999999996362,1797,24.0,-2.374869814559102,0.9203884727322218,-0.7201881576614881,-0.6937787958450097,-496,0.040874678111587986,0.0,NA,NA,0.0,NA,NA,NA,-732,0.24963902,False,0.0," Step Response (State:idle, Speed:-0.5, Q:0.0)",5.6400066361039825,0.00167073931072593,0.0623196399920547,4226.82541,0.02676,0.025382280349731445,0.0,0,0,0,1797,24.0,14.84999999999998
13006.53664803505,39.99999999996362,1788,-9.0,-2.3886756416500727,-0.3451456772745832,-0.7296974103390911,-0.683770202147201,-489,0.04027982832618026,-0.014871244635206686,NA,NA,0.0,NA,NA,NA,2886,-0.6700919,False,0.0," Step Response (State:idle, Speed:-0.5, Q:0.0)",5.705771321012387,0.0016224645699865537,0.449023190699652,4226.86541,0.02597,0.024079084396362305,0.0,0,0,0,1788,-9.0,12.799999999999997
13006.556640386581,19.999999999527063,1776,-12.0,-2.4070834111047,-0.9203884727531491,-0.7421597597428,-0.6702230158824071,-457,0.03756051502145923,-0.1359656652392665,NA,NA,0.0,NA,NA,NA,4231,-0.90272355,False,0.0," Step Response (State:idle, Speed:-0.5, Q:0.0)",5.794050548015439,0.0014107922886772647,0.814909809162657,4226.88541,0.01614,0.013966798782348633,0.0,2,0,0,1776,-12.0,-13.016666666666673
13006.577002763748,20.000000000436557,1760,-16.0,-2.4316271037108703,-1.2271846302817262,-0.7583843312928215,-0.6518076449762921,-399,0.03263175965665236,-0.24643776823496438,NA,NA,0.0,NA,NA,NA,4612,-0.99133885,False,0.0," Step Response (State:idle, Speed:-0.5, Q:0.0)",5.912810371501315,0.0010648317382895246,0.9827527136708483,4226.90541,0.01495,0.013003826141357422,0.0,2,0,0,1760,-16.0,-27.700000000000003
13006.597317934036,19.999999999527063,1743,-17.0,-2.4577047771049263,-1.3038836697336278,-0.7751221785724612,-0.6318113708102138,-318,0.025748497854077255,-0.3441630901368936,NA,NA,0.0,NA,NA,NA,4596,-0.98757523,False,0.0," Step Response (State:idle, Speed:-0.5, Q:0.0)",6.040312771404375,0.0006629851417414211,0.9753048408007068,4226.92541,0.01697,0.014961004257202148,0.0,2,0,0,1743,-17.0,-35.25000000000004
13006.617857217789,20.000000000436557,1720,-23.0,-2.492986335226296,-1.7640779060299812,-0.7969264623203876,-0.604076330982693,-221,0.017505579399141633,-0.41214592273778483,NA,NA,0.0,NA,NA,NA,4465,-0.95719343,False,0.0," Step Response (State:idle, Speed:-0.5, Q:0.0)",6.214980867625039,0.00030644531009965193,0.916219270549167,4226.94541,0.01412,0.012062311172485352,0.0,3,0,0,1720,-23.0,-32.66666666666668
13006.63798570633,19.999999999527063,1690,-30.0,-2.5390057588628654,-2.3009711818828724,-0.8238721843203263,-0.5667756380643528,-115,0.008497854077253219,-0.45038626610507093,NA,NA,0.0,NA,NA,NA,4174,-0.8894935,False,0.0," Step Response (State:idle, Speed:-0.5, Q:0.0)",6.446550243538795,7.221352391828915e-05,0.7911987310671442,4226.96541,0.01596,0.013870477676391602,0.0,0,0,0,1690,-30.0,-31.283333333333324
13006.658088207245,20.000000000436557,1654,-36.0,-2.5942290672267485,-2.7611654181338836,-0.8538995773918397,-0.520437807744631,-4,-0.0009347639484978542,-0.471630901277259,NA,NA,0.0,NA,NA,NA,4283,-0.9148245,False,0.0," Step Response (State:idle, Speed:-0.5, Q:0.0)",6.730024453244166,8.737836394112989e-07,0.8369038397804616,4226.98541,0.01486,0.012665033340454102,0.0,3,0,0,1654,-36.0,-32.7
13006.67832660675,19.999999999527063,1614,-40.0,-2.655588298742174,-3.06796157584383,-0.8842062643629859,-0.46709665173414966,108,-0.01045236051502146,-0.47587982833743336,NA,NA,0.0,NA,NA,NA,3904,-0.82687247,False,0.0," Step Response (State:idle, Speed:-0.5, Q:0.0)",7.052149212416354,0.00010925184033597969,0.6837180783276295,4227.00541,0.01503,0.01304316520690918,0.0,1,0,0,1614,-40.0,-35.35
13006.698730945587,20.000000000436557,1567,-47.0,-2.727685395772799,-3.6048548514525707,-0.9155563566881447,-0.40218970365727996,220,-0.019969957081545066,-0.47587982831579284,NA,NA,0.0,NA,NA,NA,2637,-0.5327073,False,0.0," Step Response (State:idle, Speed:-0.5, Q:0.0)",7.440267618312212,0.0003987991858387519,0.28377703973001545,4227.02541,0.01487,0.012831926345825195,0.0,1,0,0,1567,-47.0,-38.63333333333334
