# This is CartPole simulation from 19.02.2022 at time 10:07:59
# Done with git-revision: 4096a3a4fd3a693e1960c42779e794d9629bfee5
#
#
# Time intervals dt:
# Simulation: 0.002 s
# Controller update: 0.02 s
# Saving: 0.02 s
#
# Units:
# time: s
# deltaTimeMs: ms
# angle_raw
# angle: rad
# angleD: rad/s
# angle_cos:
# angle_sin:
# position_raw
# position: m
# positionD: m/s
# angleTarget: rad
# angleErr: rad
# target_position: m
# positionErr: m
# angleCmd:
# positionCmd:
# actualMotorSave:
# Q: normed motor power
# stickControl
# stickPos
# measurement
# angle_squared
# position_squared
# Q_squared
# sent
# latency
# pythonLatency
# additionalLatency
# invalid_steps
# frozen
# angleD fitted
#
#
time,deltaTimeMs,angle_raw,angleD_raw,angle,angleD,angle_cos,angle_sin,position_raw,position,positionD,angleTarget,angleErr,target_position,positionErr,angleCmd,positionCmd,actualMotorSave,Q,stickControl,stickPos,measurement,angle_squared,position_squared,Q_squared,sent,latency,pythonLatency,additionalLatency,invalid_steps,frozen,fitted,angle_raw_sensor,angleD_raw_sensor,angleD_fitted
26556.948821783066,40.000000000020464,2294,26.0,-1.6124813629799384,0.9970875121251568,-0.04167296495390956,-0.9991313046801958,180,-0.01657081545064378,0.0,NA,NA,0.0,NA,NA,NA,-14,0.082895994,False,0.0," Step Response (State:idle, Speed:-0.5, Q:0.0)",2.60009614595764,0.0002745919246992946,0.006871745852151889,411.976226,0.02637,0.024376869201660156,0.0,0,0,0,2294,26.0,13.366666666666717
26556.96878862381,19.99999999998181,2292,-2.0,-1.6155493245557095,-0.15339807878870362,-0.044738060476285466,-0.9989987517233544,180,-0.01657081545064378,0.0,NA,NA,0.0,NA,NA,NA,-401,0.09326255,False,0.0," Step Response (State:idle, Speed:-0.5, Q:0.0)",2.609999620072409,0.0002745919246992946,0.008697903832185716,411.996226,0.02637,0.018578290939331055,0.0,0,0,0,2292,-2.0,11.583333333333343
26556.988856315613,20.000000000038654,2277,-15.0,-1.638559036373994,-1.1504855909120073,-0.06771086285389653,-0.997704985981117,179,-0.016485836909871245,0.0042489270386184795,NA,NA,0.0,NA,NA,NA,-1049,0.24364544,False,0.0," Step Response (State:idle, Speed:-0.5, Q:0.0)",2.6848757156828715,0.0002717828186188731,0.05936310263162903,412.016226,0.03706,0.014818191528320312,0.0,2,0,0,2277,-15.0,-8.950000000000045
26557.00922369957,19.99999999998181,2254,-23.0,-1.6738405944953638,-1.7640779060700917,-0.10286200840432595,-0.9946956354719911,171,-0.015806008583690988,0.03399141630904375,NA,NA,0.0,NA,NA,NA,-1260,0.20007733,False,0.0," Step Response (State:idle, Speed:-0.5, Q:0.0)",2.801742335780593,0.0002498299073477132,0.04003093602143881,412.036226,0.01622,0.01412820816040039,0.0,0,0,0,2254,-23.0,-28.283333333333303
26557.029318094254,19.99999999998181,2220,-34.0,-1.7259959412834758,-2.607767339407962,-0.1545773176305491,-0.9879806945857517,155,-0.014446351931330472,0.0679828326180876,NA,NA,0.0,NA,NA,NA,-89,-0.07166343,False,0.0," Step Response (State:idle, Speed:-0.5, Q:0.0)",2.9790619893270316,0.00020869708412385568,0.005135647460686121,412.056226,0.01682,0.014715909957885742,0.0,0,0,0,2220,-34.0,-40.783333333333346
26557.049850940704,20.000000000038654,2174,-46.0,-1.7965590575262151,-3.528155812130156,-0.2238498025848539,-0.9746236534594889,142,-0.013341630901287555,0.05523605150203911,NA,NA,0.0,NA,NA,NA,538,-0.21759543,False,0.0," Step Response (State:idle, Speed:-0.5, Q:0.0)",3.2276244471794824,0.000177999115106191,0.04734777038589133,412.076226,0.01641,0.014373302459716797,0.0,2,0,0,2174,-46.0,-50.90000000000002
26557.070219278336,19.99999999998181,2118,-56.0,-1.8824619816478112,-4.295146206083702,-0.30664447156405805,-0.9518241266427321,137,-0.012916738197424893,0.021244635193152433,NA,NA,0.0,NA,NA,NA,2511,-0.67560107,False,0.0," Step Response (State:idle, Speed:-0.5, Q:0.0)",3.5436631123494045,0.00016684212566081528,0.45643679924376457,412.096226,0.0167,0.014507770538330078,0.0,1,0,0,2118,-56.0,-61.51666666666667
26557.090248584747,19.99999999998181,2055,-63.0,-1.9791027712846065,-4.8320394818441645,-0.3970555620721985,-0.9177945743070889,152,-0.014191416309012876,-0.06373390557945713,NA,NA,0.0,NA,NA,NA,3777,-0.9695026,False,0.0," Step Response (State:idle, Speed:-0.5, Q:0.0)",3.91684777930641,0.00020139629685571664,0.939935345407239,412.116226,0.01708,0.01485753059387207,0.0,2,0,0,2055,-63.0,-69.46666666666667
26557.110557556152,20.000000000038654,1983,-72.0,-2.0895493880123728,-5.522330836377636,-0.49579763444423836,-0.8684380839642498,192,-0.017590557939914164,-0.1699570815447359,NA,NA,0.0,NA,NA,NA,4628,-0.9950485,False,0.0," Step Response (State:idle, Speed:-0.5, Q:0.0)",4.366216644942882,0.0003094277286374772,0.9901215630234219,412.136226,0.01685,0.014722585678100586,0.0,1,0,0,1983,-72.0,-73.33333333333336
26557.130883693695,19.99999999998181,1904,-79.0,-2.2107338702553383,-6.059224112153793,-0.597145344072217,-0.8021330550805605,259,-0.02328412017167382,-0.2846781115882417,NA,NA,0.0,NA,NA,NA,4470,-0.9582551,False,0.0," Step Response (State:idle, Speed:-0.5, Q:0.0)",4.887344245094147,0.0005421502521689476,0.9182528600021875,412.156226,0.01711,0.015120744705200195,0.0,1,0,0,1904,-79.0,-78.31666666666668
