# This is CartPole simulation from 19.02.2022 at time 08:05:17
# Done with git-revision: 4096a3a4fd3a693e1960c42779e794d9629bfee5
#
#
# Time intervals dt:
# Simulation: 0.002 s
# Controller update: 0.02 s
# Saving: 0.02 s
#
# Units:
# time: s
# deltaTimeMs: ms
# angle_raw
# angle: rad
# angleD: rad/s
# angle_cos:
# angle_sin:
# position_raw
# position: m
# positionD: m/s
# angleTarget: rad
# angleErr: rad
# target_position: m
# positionErr: m
# angleCmd:
# positionCmd:
# actualMotorSave:
# Q: normed motor power
# stickControl
# stickPos
# measurement
# angle_squared
# position_squared
# Q_squared
# sent
# latency
# pythonLatency
# additionalLatency
# invalid_steps
# frozen
# angleD fitted
#
#
time,deltaTimeMs,angle_raw,angleD_raw,angle,angleD,angle_cos,angle_sin,position_raw,position,positionD,angleTarget,angleErr,target_position,positionErr,angleCmd,positionCmd,actualMotorSave,Q,stickControl,stickPos,measurement,angle_squared,position_squared,Q_squared,sent,latency,pythonLatency,additionalLatency,invalid_steps,frozen,fitted,angle_raw_sensor,angleD_raw_sensor,angleD_fitted
19194.699266433716,39.99999999996362,2209,7.0,-1.7428697299502178,0.2684466378802314,-0.17122549851098115,-0.9852318654305016,-1018,0.0852334763948498,0.0,NA,NA,0.0,NA,NA,NA,3025,-0.62290597,False,0.0," Step Response (State:idle, Speed:-0.5, Q:0.0)",3.037594895576745,0.007264745498351417,0.3880118469879221,1740.410818,0.02427,0.022175073623657227,0.0,0,0,0,2209,7.0,5.783333333333303
19194.719071388245,19.99999999998181,2197,-12.0,-1.7612774994048452,-0.9203884727322218,-0.1893313866360854,-0.9819132477130844,-1018,0.0852334763948498,0.0,NA,NA,0.0,NA,NA,NA,4292,-0.99648315,False,0.0," Step Response (State:idle, Speed:-0.5, Q:0.0)",3.1020984299097845,0.007264745498351417,0.9929786625426438,1740.430818,0.01818,0.01596546173095703,0.0,0,0,0,2197,-12.0,-5.716666666666626
19194.73935508728,19.99999999998181,2174,-23.0,-1.7965590575262151,-1.7640779060700917,-0.2238498025848539,-0.9746236534594889,-993,0.08310901287553649,-0.10622317596576199,NA,NA,0.0,NA,NA,NA,4212,-0.9778067,False,0.0," Step Response (State:idle, Speed:-0.5, Q:0.0)",3.2276244471794824,0.0069071080211460896,0.9561059178362399,1740.450818,0.01576,0.013721704483032227,0.0,1,0,0,2174,-23.0,-23.750000000000057
19194.759460926056,19.99999999998181,2144,-30.0,-1.8425784811627843,-2.3009711818305543,-0.2684486007129308,-0.9632940095190405,-937,0.07835021459227469,-0.2379399141633063,NA,NA,0.0,NA,NA,NA,4559,-0.9789207,False,0.0," Step Response (State:idle, Speed:-0.5, Q:0.0)",3.3950954592441533,0.006138756126655494,0.9582857332976005,1740.470818,0.01648,0.014484167098999023,0.0,0,0,0,2144,-30.0,-38.31666666666666
19194.779938459396,19.99999999998181,2101,-43.0,-1.9085396550418672,-3.298058693957128,-0.33135875697042194,-0.9435048352706078,-857,0.07155193133047211,-0.33991416309043826,NA,NA,0.0,NA,NA,NA,4648,-0.9995193,False,0.0," Step Response (State:idle, Speed:-0.5, Q:0.0)",3.6425236148673292,0.005119678877120596,0.9990388081632808,1740.490818,0.01545,0.013467073440551758,0.0,1,0,0,2101,-43.0,-47.86666666666663
19194.800253152847,19.99999999998181,2054,-47.0,-1.980636752072492,-3.6048548515345358,-0.3984629736092192,-0.9171844191123717,-760,0.06330901287553649,-0.4121459227471558,NA,NA,0.0,NA,NA,NA,4648,-0.99951607,False,0.0," Step Response (State:idle, Speed:-0.5, Q:0.0)",3.9229219436602696,0.004008031111274845,0.9990323739664895,1740.510818,0.01671,0.014586687088012695,0.0,2,0,0,2054,-47.0,-57.016666666666715
19194.820591688156,19.99999999998181,1995,-59.0,-2.071141618557745,-4.525243324266757,-0.4797285320479311,-0.8774169678887781,-653,0.05421630901287554,-0.454635193133461,NA,NA,0.0,NA,NA,NA,4646,-0.9991364,False,0.0," Step Response (State:idle, Speed:-0.5, Q:0.0)",4.289627604121995,0.002939408162979609,0.9982735224288639,1740.530818,0.01642,0.01431727409362793,0.0,3,0,0,1995,-59.0,-59.98333333333333
19194.84079861641,19.99999999998181,1927,-68.0,-2.1754523121339684,-5.215534678815924,-0.5684790898288686,-0.8226977114513818,-539,0.04452875536480687,-0.484377682403874,NA,NA,0.0,NA,NA,NA,4642,-0.99826914,False,0.0," Step Response (State:idle, Speed:-0.5, Q:0.0)",4.732592762369029,0.0019828100543388166,0.9965412773145808,1740.550818,0.01614,0.013941764831542969,0.0,1,0,0,1927,-68.0,-66.63333333333335
19194.86105942726,19.99999999998181,1852,-75.0,-2.2905008712253916,-5.752427954576386,-0.659162518004684,-0.7520005151977788,-422,0.0345862660944206,-0.4971244635197655,NA,NA,0.0,NA,NA,NA,4626,-0.99443865,False,0.0," Step Response (State:idle, Speed:-0.5, Q:0.0)",5.246394241084278,0.0011962098023540681,0.9889082250813317,1740.570818,0.01697,0.014890432357788086,0.0,1,0,0,1852,-75.0,-73.48333333333326
19194.881130695343,19.99999999998181,1766,-86.0,-2.422423218983557,-6.596117387914256,-0.7523531318552525,-0.658760020787231,-304,0.024558798283261803,-0.5013733905583959,NA,NA,0.0,NA,NA,NA,4606,-0.98987275,False,0.0," Step Response (State:idle, Speed:-0.5, Q:0.0)",5.868134251870657,0.0006031345731179428,0.9798480683595336,1740.590818,0.01683,0.014742136001586914,0.0,1,0,0,1766,-86.0,-80.18333333333334
