# This is CartPole simulation from 19.02.2022 at time 09:57:15
# Done with git-revision: 4096a3a4fd3a693e1960c42779e794d9629bfee5
#
#
# Time intervals dt:
# Simulation: 0.002 s
# Controller update: 0.02 s
# Saving: 0.02 s
#
# Units:
# time: s
# deltaTimeMs: ms
# angle_raw
# angle: rad
# angleD: rad/s
# angle_cos:
# angle_sin:
# position_raw
# position: m
# positionD: m/s
# angleTarget: rad
# angleErr: rad
# target_position: m
# positionErr: m
# angleCmd:
# positionCmd:
# actualMotorSave:
# Q: normed motor power
# stickControl
# stickPos
# measurement
# angle_squared
# position_squared
# Q_squared
# sent
# latency
# pythonLatency
# additionalLatency
# invalid_steps
# frozen
# angleD fitted
#
#
time,deltaTimeMs,angle_raw,angleD_raw,angle,angleD,angle_cos,angle_sin,position_raw,position,positionD,angleTarget,angleErr,target_position,positionErr,angleCmd,positionCmd,actualMotorSave,Q,stickControl,stickPos,measurement,angle_squared,position_squared,Q_squared,sent,latency,pythonLatency,additionalLatency,invalid_steps,frozen,fitted,angle_raw_sensor,angleD_raw_sensor,angleD_fitted
25912.631251573563,19.99999999998181,2212,10.0,-1.7382677875865609,0.7669903939435182,-0.16668972116198272,-0.9860093999850815,753,-0.06526351931330472,0.0,NA,NA,0.0,NA,NA,NA,2762,-0.7339018,False,0.0," Step Response (State:idle, Speed:-0.5, Q:0.0)",3.021574901361077,0.004259326953158098,0.5386118501719785,4071.443522,0.00315,0.019068479537963867,0.0,0,0,0,2212,10.0,10.06666666666662
25912.671788215637,39.99999999996362,2204,-8.0,-1.750539633889646,-0.30679615757740725,-0.17877702183454233,-0.9838896159956012,757,-0.06560343347639486,-0.008497854077261112,NA,NA,0.0,NA,NA,NA,2103,-0.48819765,False,0.0," Step Response (State:idle, Speed:-0.5, Q:0.0)",3.0643890098184956,0.004303810483891765,0.23833694984534137,4071.483522,0.00583,0.023916006088256836,0.0,1,0,0,2204,-8.0,-2.1999999999999886
25912.691845178604,19.99999999998181,2183,-21.0,-1.7827532304352443,-1.6106798272813883,-0.2103734117364179,-0.9776211063773018,778,-0.06738798283261803,-0.08922746781123977,NA,NA,0.0,NA,NA,NA,2668,-0.5398438,False,0.0," Step Response (State:idle, Speed:-0.5, Q:0.0)",3.178209080627299,0.004541140230249222,0.2914313258975767,4071.503522,0.00583,0.018034934997558594,0.0,0,0,0,2183,-21.0,-19.53333333333333
25912.712129831314,19.99999999998181,2155,-28.0,-1.8257046924960423,-2.147573103041851,-0.25215673642784187,-0.9676864059570435,812,-0.07027725321888413,-0.14446351931343648,NA,NA,0.0,NA,NA,NA,2692,-0.5455715,False,0.0," Step Response (State:idle, Speed:-0.5, Q:0.0)",3.3331976242020684,0.00493889231999116,0.2976482681846484,4071.523522,0.03667,0.014653205871582031,0.0,2,0,0,2155,-28.0,-37.19999999999999
25912.732472896576,19.99999999998181,2117,-38.0,-1.8839959624356966,-2.9145634969853687,-0.3081041901331244,-0.9513526202320628,859,-0.07427124463519313,-0.1996995708156318,NA,NA,0.0,NA,NA,NA,4221,-0.9005192,False,0.0," Step Response (State:idle, Speed:-0.5, Q:0.0)",3.5494407864740065,0.005516217779660705,0.810934815554365,4071.543522,0.01684,0.014771223068237305,0.0,0,0,0,2117,-38.0,-45.68333333333331
25912.752545118332,19.99999999998181,2068,-49.0,-1.9591610210420933,-3.7582529303232386,-0.3786753983363375,-0.9255295471754622,923,-0.0797098712446352,-0.27193133047235074,NA,NA,0.0,NA,NA,NA,3227,-0.669696,False,0.0," Step Response (State:idle, Speed:-0.5, Q:0.0)",3.8383119063706976,0.006353663573836322,0.44849269678321946,4071.563522,0.0171,0.01502370834350586,0.0,1,0,0,2068,-49.0,-53.86666666666669
25912.77313017845,19.99999999998181,2008,-60.0,-2.0511998683152317,-4.6019423636611085,-0.4621370772120464,-0.8868085034921052,996,-0.08591330472103005,-0.31017167382002453,NA,NA,0.0,NA,NA,NA,2202,-0.43180653,False,0.0," Step Response (State:idle, Speed:-0.5, Q:0.0)",4.207420899776424,0.007381095928088564,0.18645688326171328,4071.583522,0.01726,0.01527714729309082,0.0,2,0,0,2008,-60.0,-60.850000000000016
25912.793382167816,19.99999999998181,1942,-66.0,-2.152442600315684,-5.06213660002722,-0.5494002398499495,-0.8355593195296298,1068,-0.09203175965665236,-0.3059227467813938,NA,NA,0.0,NA,NA,NA,2032,-0.3924186,False,0.0," Step Response (State:idle, Speed:-0.5, Q:0.0)",4.633009147653744,0.008469844785499826,0.1539923522641553,4071.603522,0.01766,0.015460014343261719,0.0,1,0,0,1942,-66.0,-68.96666666666665
25912.813556432724,19.99999999998181,1866,-76.0,-2.2690251401949926,-5.829126993970737,-0.642861999224801,-0.7659820167293041,1136,-0.09781030042918455,-0.28892703862687225,NA,NA,0.0,NA,NA,NA,879,-0.124738656,False,0.0," Step Response (State:idle, Speed:-0.5, Q:0.0)",5.148475086836906,0.00956685487004734,0.015559732296794915,4071.623522,0.01731,0.015197515487670898,0.0,2,0,0,1866,-76.0,-74.44999999999997
25912.833887577057,19.99999999998181,1779,-87.0,-2.402481468741043,-6.672816427308607,-0.7390675842705929,-0.6736312833297085,1191,-0.10248412017167383,-0.23369098712467626,NA,NA,0.0,NA,NA,NA,1646,-0.3026588,False,0.0," Step Response (State:idle, Speed:-0.5, Q:0.0)",5.77191720764412,0.010502994887362081,0.09160234698407521,4071.643522,0.01727,0.01519465446472168,0.0,1,0,0,1779,-87.0,-81.50000000000001
25912.854158639908,19.99999999998181,1683,-96.0,-2.5497436243780647,-7.363107781857774,-0.8299105314478291,-0.5578965045525754,1238,-0.10647811158798284,-0.1996995708156325,NA,NA,0.0,NA,NA,NA,436,-0.021868791,False,0.0," Step Response (State:idle, Speed:-0.5, Q:0.0)",6.501192550056589,0.011337588247342927,0.0004782440386608272,4071.663522,0.01735,0.015262603759765625,0.0,2,0,0,1683,-96.0,-92.58333333333336
25912.874344587326,19.99999999998181,1578,-105.0,-2.710811607106057,-8.053399136406941,-0.9086398769837649,-0.41758061970705557,1275,-0.10962231759656653,-0.15721030042932727,NA,NA,0.0,NA,NA,NA,-1255,0.37095043,False,0.0," Step Response (State:idle, Speed:-0.5, Q:0.0)",7.348499569220924,0.0120170525152425,0.13760422198579736,4071.683522,0.01734,0.01555323600769043,0.0,2,0,0,1578,-105.0,-104.8666666666667
25912.894782304764,19.99999999998181,1470,-108.0,-2.8764815321977064,-8.283496254589997,-0.9650633912004494,-0.26201650895447115,1289,-0.11081201716738198,-0.059484978540826745,NA,NA,0.0,NA,NA,NA,-3295,0.8444391,False,0.0," Step Response (State:idle, Speed:-0.5, Q:0.0)",8.274146005074465,0.012279303148704158,0.713077375534855,4071.703522,0.01682,0.015074968338012695,0.0,2,0,0,1470,-108.0,-114.73333333333336
25912.914913654327,19.99999999998181,1348,-122.0,-3.063627188319755,-9.357282806110922,-0.9969622323650924,-0.0778865022812773,1267,-0.10894248927038627,0.0934763948498705,NA,NA,0.0,NA,NA,NA,-3911,0.9874496,False,0.0," Step Response (State:idle, Speed:-0.5, Q:0.0)",9.385811549012006,0.011868465968428228,0.9750566856646437,4071.723522,0.01664,0.014687538146972656,0.0,1,0,0,1348,-122.0,-117.46666666666667
25912.93537759781,20.000000000436557,1218,-130.0,3.020140616434698,-9.970875121039024,-0.9926337627174602,0.12115367560820027,1215,-0.1045236051502146,0.22094420600376105,NA,NA,0.0,NA,NA,NA,-4652,0.9875048,False,0.0," Step Response (State:idle, Speed:-0.5, Q:0.0)",9.121249343038558,0.010925184033597967,0.9751656911005604,4071.743522,0.01679,0.014934062957763672,0.0,2,0,0,1218,-130.0,-128.11666666666665
