# This is CartPole simulation from 21.02.2022 at time 01:27:23
# Done with git-revision: 6b4990c03f6aafc7e08ce4bf12419dd292d2132d
#
#
# Time intervals dt:
# Simulation: 0.002 s
# Controller update: 0.02 s
# Saving: 0.02 s
#
# Units:
# time: s
# deltaTimeMs: ms
# angle_raw
# angle: rad
# angleD: rad/s
# angle_cos:
# angle_sin:
# position_raw
# position: m
# positionD: m/s
# angleTarget: rad
# angleErr: rad
# target_position: m
# positionErr: m
# angleCmd:
# positionCmd:
# actualMotorSave:
# Q: normed motor power
# stickControl
# stickPos
# measurement
# angle_squared
# position_squared
# Q_squared
# sent
# latency
# pythonLatency
# additionalLatency
# invalid_steps
# frozen
# angleD fitted
#
#
time,deltaTimeMs,angle_raw,angleD_raw,angle,angleD,angle_cos,angle_sin,position_raw,position,positionD,angleTarget,angleErr,target_position,positionErr,angleCmd,positionCmd,actualMotorSave,Q,stickControl,stickPos,measurement,angle_squared,position_squared,Q_squared,sent,latency,pythonLatency,controller_steptime,additionalLatency,invalid_steps,frozen,fitted,angle_raw_sensor,angleD_raw_sensor,angleD_fitted
10.650740146636963,20.000000000000462,1206,-4.0,3.0017328469800706,-0.30679615757712114,-0.9902355495039599,0.1394042915357721,-23,0.000849785407725322,0.02124463519313256,NA,NA,0.0,NA,NA,NA,-1690,0.2999769,False,0.0," Step Response (State:idle, Speed:-0.5, Q:0.0)",9.01040008463908,7.221352391828917e-07,0.08998613172554215,6.540002,0.62893,0.01748800277709961,0.014189720153808594,0.0,1,0,0,1206,-4.0,
10.670990467071533,19.999999999999574,1207,1.0,3.003266827767956,0.0766990393942837,-0.9904482278651083,0.13788512580719653,-35,0.0018695278969957083,0.05098712446352041,NA,NA,0.0,NA,NA,NA,-2376,0.45918727,False,0.0," Step Response (State:idle, Speed:-0.5, Q:0.0)",9.019611638771401,3.4951345576451957e-06,0.21085294820528588,6.560002,0.05695,0.014753103256225586,0.013736248016357422,0.0,2,0,0,1207,1.0,
10.691291570663452,20.000000000000462,1200,-7.0,2.9925289622527567,-0.536893275759962,-0.9889105647187373,0.14851227217865873,-62,0.004163948497854077,0.1147210300429158,NA,NA,0.0,NA,NA,NA,-3057,0.6171521,False,0.0," Step Response (State:idle, Speed:-0.5, Q:0.0)",8.955229589921561,1.7338467092781228e-05,0.3808767081666389,6.580002,0.01647,0.014303207397460938,0.014082193374633789,0.0,1,0,0,1200,-7.0,
10.711421966552734,19.999999999999574,1194,-6.0,2.9833250775254427,-0.46019423636570217,-0.9875018084334422,0.15760767221389135,-105,0.007818025751072962,0.18270386266094812,NA,NA,0.0,NA,NA,NA,-3482,0.71578234,False,0.0," Step Response (State:idle, Speed:-0.5, Q:0.0)",8.900228518192188,6.112152664443994e-05,0.512344364470696,6.600002,0.01687,0.01473093032836914,0.013367414474487305,0.0,1,0,0,1194,-6.0,
10.73157548904419,20.000000000000462,1182,-12.0,2.9649173080708153,-0.9203884727313635,-0.9844334657969125,0.17575764967442833,-165,0.012916738197424893,0.25493562231759065,NA,NA,0.0,NA,NA,NA,-3585,0.7397018,False,0.0," Step Response (State:idle, Speed:-0.5, Q:0.0)",8.79073464369789,0.00016684212566081528,0.5471587640171869,6.620002,0.01594,0.013849258422851562,0.014026880264282227,0.0,2,0,0,1182,-12.0,
10.752011060714722,19.999999999999574,1167,-15.0,2.9419075962525305,-1.1504855909142553,-0.9801290986823991,0.19836065616958456,-237,0.01903519313304721,0.3059227467811224,NA,NA,0.0,NA,NA,NA,-3757,0.7797361,False,0.0," Step Response (State:idle, Speed:-0.5, Q:0.0)",8.654820304888341,0.0003623385776124077,0.6079883881810169,6.640002,0.01651,0.014566183090209961,0.013756513595581055,0.0,2,0,0,1167,-15.0,
10.77225923538208,20.000000000000462,1151,-16.0,2.9173639036463603,-1.2271846303084846,-0.9749658879295571,0.22235448584125836,-320,0.026088412017167384,0.3526609442060005,NA,NA,0.0,NA,NA,NA,-3843,0.79975224,False,0.0," Step Response (State:idle, Speed:-0.5, Q:0.0)",8.51101214629873,0.0006806052415774835,0.639603638047447,6.660002,0.01641,0.014381170272827148,0.014338254928588867,0.0,3,0,0,1151,-16.0,
10.79265308380127,19.999999999999574,1134,-17.0,2.8912862302523044,-1.3038836697028229,-0.968836565876786,0.24770084501284206,-410,0.03373648068669528,0.3824034334764031,NA,NA,0.0,NA,NA,NA,-3675,0.7607692,False,0.0," Step Response (State:idle, Speed:-0.5, Q:0.0)",8.359536065246582,0.0011381501291237639,0.5787697580250075,6.680002,0.01696,0.014950990676879883,0.012844562530517578,0.0,2,0,0,1134,-17.0,
10.812945365905762,19.999999999999574,1117,-17.0,2.8652085568582484,-1.3038836697028229,-0.9620484286500761,0.27287876599676897,-504,0.041724463519313304,0.39939914163090956,NA,NA,0.0,NA,NA,NA,-3499,0.7197382,False,0.0," Step Response (State:idle, Speed:-0.5, Q:0.0)",8.209420074293726,0.0017409308559745067,0.5180230555311347,6.700002,0.01561,0.013468027114868164,0.01348733901977539,0.0,1,0,0,1117,-17.0,
10.833247423171997,20.000000000000462,1099,-18.0,2.837596902676307,-1.3805827090970453,-0.9541480406789029,0.2993351240142236,-599,0.04979742489270387,0.4036480686695189,NA,NA,0.0,NA,NA,NA,-3166,0.6425944,False,0.0," Step Response (State:idle, Speed:-0.5, Q:0.0)",8.051956182078172,0.002479783525944483,0.4129275591432169,6.720002,0.01628,0.014435529708862305,0.013807296752929688,0.0,1,0,0,1099,-18.0,
