# This is CartPole simulation from 12.02.2022 at time 15:39:13
# Done with git-revision: 3b31c7399b8bada4a1c8a63c80884127a6e6ebe4
#
#
# Time intervals dt:
# Simulation: 0.002 s
# Controller update: 0.02 s
# Saving: 0.02 s
#
# Units:
# time: s
# deltaTimeMs: ms
# angle_raw
# angle: rad
# angleD: rad/s
# angle_cos:
# angle_sin:
# position_raw
# position: m
# positionD: m/s
# angleTarget: rad
# angleErr: rad
# target_position: m
# positionErr: m
# angleCmd:
# positionCmd:
# actualMotorSave:
# Q: normed motor power
# stickControl
# stickPos
# measurement
# angle_squared
# position_squared
# Q_squared
# sent
# latency
# pythonLatency
# additionalLatency
# invalid_steps
# frozen
#
#
time,deltaTimeMs,angle_raw,angleD_raw,angle,angleD,angle_cos,angle_sin,position_raw,position,positionD,angleTarget,angleErr,target_position,positionErr,angleCmd,positionCmd,actualMotorSave,Q,stickControl,stickPos,measurement,angle_squared,position_squared,Q_squared,sent,latency,pythonLatency,additionalLatency,invalid_steps,frozen
67896.33745241165,39.99999999996362,2264,7.0,-1.6585007866165076,0.2684466378802314,-0.08759206488389033,-0.9961564285639963,1701,-0.14522832618025752,0.0,NA,NA,0.0,NA,NA,NA,-456,0.18543738,False,0.0," Step Response (State:idle, Speed:-0.5, Q:0.0)",2.7506248592075746,0.02109126672511927,0.034387022371365816,2537.890562,0.02511,0.023505687713623047,0.0,0,0
67896.3576695919,19.99999999998181,2253,-11.0,-1.6753745752832496,-0.8436894333378699,-0.10438773077840316,-0.9945366768817204,1701,-0.14522832618025752,0.0,NA,NA,0.0,NA,NA,NA,-3079,0.71490395,False,0.0," Step Response (State:idle, Speed:-0.5, Q:0.0)",2.806879967505529,0.02109126672511927,0.5110876587139188,2537.910562,0.01831,0.01639389991760254,0.0,2,0
67896.37781143188,19.99999999998181,2232,-21.0,-1.707588171828848,-1.6106798272813883,-0.13636563562160017,-0.9906585756059032,1685,-0.143868669527897,0.0679828326180875,NA,NA,0.0,NA,NA,NA,-4177,0.9697479,False,0.0," Step Response (State:idle, Speed:-0.5, Q:0.0)",2.915857364569787,0.020698194071727242,0.940410991421814,2537.930562,0.01404,0.012059688568115234,0.0,2,0
67896.39810848236,19.99999999998181,2200,-32.0,-1.7566755570411887,-2.454369260619258,-0.18481068959887897,-0.9827741393677323,1640,-0.14004463519313307,0.19120171673837102,NA,NA,0.0,NA,NA,NA,-4656,0.9883353,False,0.0," Step Response (State:idle, Speed:-0.5, Q:0.0)",3.0859090127059705,0.019612499846377723,0.9768066877854586,2537.950562,0.01423,0.012446403503417969,0.0,1,0
67896.41844582558,19.99999999998181,2156,-44.0,-1.824170711708157,-3.3747577333514798,-0.25067202797998783,-0.9680720708647679,1568,-0.13392618025751074,0.3059227467813945,NA,NA,0.0,NA,NA,NA,-4601,0.9755693,False,0.0," Step Response (State:idle, Speed:-0.5, Q:0.0)",3.327598785453844,0.01793622175836726,0.9517354743293858,2537.970562,0.01488,0.013016700744628906,0.0,2,0
67896.43875861168,19.99999999998181,2098,-58.0,-1.9131415974055237,-4.448544284872406,-0.335697187785893,-0.9419699560562655,1477,-0.1261931330472103,0.3866523605153735,NA,NA,0.0,NA,NA,NA,-4446,0.93962467,False,0.0," Step Response (State:idle, Speed:-0.5, Q:0.0)",3.660110771723359,0.01592470682827092,0.8828945151499425,2537.990562,0.01483,0.01289987564086914,0.0,0,0
67896.45900130272,19.99999999998181,2031,-67.0,-2.015918310193862,-5.138835639421572,-0.4305679806149472,-0.9025581499655113,1372,-0.11727038626609443,0.44613733905619957,NA,NA,0.0,NA,NA,NA,-4100,0.85937476,False,0.0," Step Response (State:idle, Speed:-0.5, Q:0.0)",4.063926633374876,0.013752343494998988,0.738524980843124,2538.010562,0.01821,0.016282081604003906,0.0,1,0
67896.47913813591,19.99999999998181,1954,-77.0,-2.134034830861056,-5.90582603336509,-0.5339272467330798,-0.8455304223953346,1264,-0.10809270386266095,0.458884120172091,NA,NA,0.0,NA,NA,NA,-3000,0.6038869,False,0.0," Step Response (State:idle, Speed:-0.5, Q:0.0)",4.554104659328177,0.011684032628340918,0.364679390808508,2538.030562,0.01495,0.013016939163208008,0.0,1,0
67896.49964427948,19.99999999998181,1870,-84.0,-2.26288921704345,-6.442719309125553,-0.6381499202313613,-0.7699121244068748,1156,-0.09891502145922747,0.45888412017209174,NA,NA,0.0,NA,NA,NA,-3000,0.60408056,False,0.0," Step Response (State:idle, Speed:-0.5, Q:0.0)",5.120667608611518,0.009784181470279431,0.3649133203399657,2538.050562,0.01493,0.013112306594848633,0.0,2,0
67896.51981019974,19.99999999998181,1777,-93.0,-2.405549430316815,-7.133010663674718,-0.7411307777292423,-0.6713606856991615,1052,-0.09007725321888413,0.4418884120175688,NA,NA,0.0,NA,NA,NA,-2979,0.59911406,False,0.0," Step Response (State:idle, Speed:-0.5, Q:0.0)",5.7866680616975525,0.008113911547458972,0.35893765737127126,2538.070562,0.01658,0.014643192291259766,0.0,2,0
